Name,FinalCard,CardsPlayed
Laloo,"{'face': ' 0', 'color': 'yellow'}",75
Bhaloo,"{'face': ' 5', 'color': 'red'}",9
Bhaloo,"{'face': ' 5', 'color': 'green'}",10
Bhaloo,"{'face': ' 2', 'color': 'red'}",13
Laloo,"{'face': ' 8', 'color': 'yellow'}",63
Aloo,"{'face': '+2', 'color': 'green'}",67
Laloo,"{'face': ' 4', 'color': 'green'}",17
Laloo,"{'face': ' 2', 'color': 'blue'}",20
Laloo,"{'face': ' 4', 'color': 'red'}",8
Bhaloo,"{'face': '+2', 'color': 'green'}",52
Bhaloo,"{'face': '+2', 'color': 'yellow'}",11
Bhaloo,"{'face': ' 0', 'color': 'green'}",7
Aloo,"{'face': ' 1', 'color': 'red'}",11
Laloo,"{'face': ' 2', 'color': 'red'}",13
Laloo,"{'face': ' 7', 'color': 'yellow'}",9
Abra,"{'face': '+2', 'color': 'red'}",33
Abra,"{'face': '+2', 'color': 'blue'}",79
Chabra,"{'face': ' 9', 'color': 'yellow'}",17
Babra,"{'face': ' 5', 'color': 'green'}",19
Lullu-AI,"{'face': ' ↕', 'color': 'green'}",33
WhiteHouse-AI,"{'face': ' 2', 'color': 'blue'}",38
Faku-AI,"{'face': ' 5', 'color': 'yellow'}",20
awsey c-AI,"{'face': ' ↕', 'color': 'red'}",18
Hasrh,"{'face': ' 3', 'color': 'yellow'}",14
asd,"{'face': ' 3', 'color': 'red'}",61
asd,"{'face': ' 5', 'color': 'blue'}",4
dzf,"{'face': ' 3', 'color': 'blue'}",9
asd,"{'face': ' 4', 'color': 'blue'}",45
awe-AI,"{'face': ' 5', 'color': 'blue'}",23
wae-AI,"{'face': '+2', 'color': 'yellow'}",12
